,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
221,221,lulesh,INVALID,15.658238,1,0.00017677990490483,0,-1.0,-1.0,-1.0,-1.0
222,222,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
223,223,lulesh,INVALID,1.18019,1,0.0,0,-1.0,-1.0,-1.0,-1.0
224,224,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
225,225,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
226,226,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
227,227,lulesh,VALID,15.6633376,1,5.1450006594678e-05,1,-1.0,-1.0,-1.0,-1.0
228,228,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
229,229,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
230,230,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
231,231,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
232,232,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
233,233,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
234,234,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
235,235,lulesh,INVALID,16.013364,1,0.043753240600836,0,-1.0,-1.0,-1.0,-1.0
236,236,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
237,237,lulesh,VALID,15.8411846,1,6.3697292262077e-05,1,-1.0,-1.0,-1.0,-1.0
238,238,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
239,239,lulesh,VALID,16.0556024,1,5.0614353312994e-05,1,-1.0,-1.0,-1.0,-1.0
240,240,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
241,241,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
242,242,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
243,243,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
244,244,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
245,245,lulesh,VALID,15.3736756,1,7.3405824878137e-05,1,-1.0,-1.0,-1.0,-1.0
246,246,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
